,salary_min,salary_max,currency,vacancy,link,source
69,55000.0,,руб.,Кассир ( м. Строгино),https://hh.ru/vacancy/51864148?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
70,65000.0,,руб.,Менеджер-кассир в сеть ресторанов,https://hh.ru/vacancy/52252969?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
71,50000.0,60000.0,руб.,Кассир,https://hh.ru/vacancy/51937544?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
72,,60000.0,руб.,Администратор-кассир,https://hh.ru/vacancy/52910809?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
73,55000.0,,руб.,Кассир,https://hh.ru/vacancy/52823669?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
74,45000.0,45000.0,руб.,Кассир медицинского центра,https://hh.ru/vacancy/51731389?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
75,50000.0,75000.0,руб.,Оператор-кассир,https://hh.ru/vacancy/52821209?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
76,,53000.0,руб.,Кассир в магазин,https://hh.ru/vacancy/52890047?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
77,50000.0,,руб.,Помощник старшего кассира,https://hh.ru/vacancy/52892531?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
78,40000.0,,руб.,Кассир-операционист,https://hh.ru/vacancy/51029376?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
79,,,,Кассир в ресторан,https://hh.ru/vacancy/52897382?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
80,55000.0,75000.0,руб.,Продавец-кассир,https://hh.ru/vacancy/52767647?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
81,,47000.0,руб.,Продавец-кассир,https://hh.ru/vacancy/37930326?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
